entity,selected,attributes,contract
cat_almacen,True,15,config/ingestion/credicresa_cat_almacen.yml
cat_canton,True,9,config/ingestion/credicresa_cat_canton.yml
cat_estadocivil,True,2,config/ingestion/credicresa_cat_estadocivil.yml
cat_estadoverificacion,True,6,config/ingestion/credicresa_cat_estadoverificacion.yml
cat_modelo_aprobador,True,22,config/ingestion/credicresa_cat_modelo_aprobador.yml
cat_modelo_calificacion,True,9,config/ingestion/credicresa_cat_modelo_calificacion.yml
cat_nacionalidad,True,3,config/ingestion/credicresa_cat_nacionalidad.yml
cat_nivelinstruccion,True,2,config/ingestion/credicresa_cat_nivelinstruccion.yml
cat_origen,True,8,config/ingestion/credicresa_cat_origen.yml
cat_parroquia,True,9,config/ingestion/credicresa_cat_parroquia.yml
cat_profesion,True,3,config/ingestion/credicresa_cat_profesion.yml
cat_provincia,True,8,config/ingestion/credicresa_cat_provincia.yml
cat_sector,True,9,config/ingestion/credicresa_cat_sector.yml
cat_sector_riesgo_geocerca,True,8,config/ingestion/credicresa_cat_sector_riesgo_geocerca.yml
cat_sexo,False,2,config/ingestion/credicresa_cat_sexo.yml
cat_solicitud_estados,False,7,config/ingestion/credicresa_cat_solicitud_estados.yml
cat_tipoverificacion,False,9,config/ingestion/credicresa_cat_tipoverificacion.yml
cat_tipovinculo,False,3,config/ingestion/credicresa_cat_tipovinculo.yml
cfg_controlsecuencia,False,2,config/ingestion/credicresa_cfg_controlsecuencia.yml
cobro_tipo_credito_tb,False,3,config/ingestion/credicresa_cobro_tipo_credito_tb.yml
com_cub_cobros_cuotas_cresa_tb,False,21,config/ingestion/credicresa_com_cub_cobros_cuotas_cresa_tb.yml
cre_solicitante,False,33,config/ingestion/credicresa_cre_solicitante.yml
cre_solicitante_mina,False,4,config/ingestion/credicresa_cre_solicitante_mina.yml
cre_solicitud,False,59,config/ingestion/credicresa_cre_solicitud.yml
cre_solicitud_bitacora,False,5,config/ingestion/credicresa_cre_solicitud_bitacora.yml
cre_solicituddomicilio,False,26,config/ingestion/credicresa_cre_solicituddomicilio.yml
cre_solicitudlaboral,False,27,config/ingestion/credicresa_cre_solicitudlaboral.yml
cub_cobro_cuotas,False,23,config/ingestion/credicresa_cub_cobro_cuotas.yml
lcr_cuentas,False,21,config/ingestion/credicresa_lcr_cuentas.yml
lcr_graduacion,False,45,config/ingestion/credicresa_lcr_graduacion.yml
lcr_reserva_cuotas,False,13,config/ingestion/credicresa_lcr_reserva_cuotas.yml
sec_usuario,False,12,config/ingestion/credicresa_cat_usuario.yml
sis_peticiones,False,10,config/ingestion/credicresa_sis_peticiones.yml
ver_respuesta_proveedor,False,13,config/ingestion/credicresa_ver_respuesta_proveedor.yml
