entity,contract,attributes,primary_key,natural_key,natural_key_status,diagnostics_per_layer,text_length_checks
cat_almacen,config/ingestion/credicresa_cat_almacen.yml,15,id,empresa_id|grupo_id|unidadnegocio_id|canton_id|canal_id,candidate,39,11
cat_canton,config/ingestion/credicresa_cat_canton.yml,9,id,id|provincia_id|cod|pais_cod|provincia_cod,candidate,24,6
cat_estadocivil,config/ingestion/credicresa_cat_estadocivil.yml,2,id,nombre,candidate,12,2
cat_estadoverificacion,config/ingestion/credicresa_cat_estadoverificacion.yml,6,id,nombre|tipo_verificacion,candidate,18,4
cat_modelo_aprobador,config/ingestion/credicresa_cat_modelo_aprobador.yml,22,id,calificacion_buro_id|calificacion_confianza_id|calificacion_final_id|origen_id|zona_riesgo_id|tipo_cliente_id|dependencia_id|grupo_id|unidadnegocio_id|canal_id,candidate,48,14
cat_modelo_calificacion,config/ingestion/credicresa_cat_modelo_calificacion.yml,9,id,nombre,candidate,18,4
cat_nacionalidad,config/ingestion/credicresa_cat_nacionalidad.yml,3,id,nombre,candidate,12,2
cat_nivelinstruccion,config/ingestion/credicresa_cat_nivelinstruccion.yml,2,id,nombre,candidate,12,2
cat_origen,config/ingestion/credicresa_cat_origen.yml,8,id,nombre,candidate,18,4
cat_parroquia,config/ingestion/credicresa_cat_parroquia.yml,9,id,canton_id|cod|pais_cod|provincia_cod|canton_cod,candidate,24,6
cat_profesion,config/ingestion/credicresa_cat_profesion.yml,3,id,nombre,candidate,12,2
cat_provincia,config/ingestion/credicresa_cat_provincia.yml,8,id,pais_id|cod|pais_cod|region_cod,candidate,21,5
cat_sector,config/ingestion/credicresa_cat_sector.yml,9,id,nombre|cat_zona_id|gestor_id,candidate,14,2
cat_sector_riesgo_geocerca,config/ingestion/credicresa_cat_sector_riesgo_geocerca.yml,8,id,cat_sector_riesgo_id,candidate,12,2
cat_sexo,config/ingestion/credicresa_cat_sexo.yml,2,id,nombre,candidate,12,2
cat_solicitud_estados,config/ingestion/credicresa_cat_solicitud_estados.yml,7,id,,pending,17,4
cat_tipoverificacion,config/ingestion/credicresa_cat_tipoverificacion.yml,9,id,nombre,candidate,21,5
cat_tipovinculo,config/ingestion/credicresa_cat_tipovinculo.yml,3,id,nombre,candidate,15,3
sec_usuario,config/ingestion/credicresa_cat_usuario.yml,12,id,perfil_id|almacen_id,candidate,27,7
cfg_controlsecuencia,config/ingestion/credicresa_cfg_controlsecuencia.yml,2,nombre_secuencia,ultimo_numero,candidate,9,1
cobro_tipo_credito_tb,config/ingestion/credicresa_cobro_tipo_credito_tb.yml,3,tipocredito,fechacreacion,candidate,12,2
com_cub_cobros_cuotas_cresa_tb,config/ingestion/credicresa_com_cub_cobros_cuotas_cresa_tb.yml,21,empresa,tipopago|vertical|estadopago|estado|tipocartera|clase,candidate,45,13
cre_solicitante,config/ingestion/credicresa_cre_solicitante.yml,33,cod_cliente,,pending,77,24
cre_solicitante_mina,config/ingestion/credicresa_cre_solicitante_mina.yml,4,id,solicitante_id,candidate,11,1
cre_solicitud,config/ingestion/credicresa_cre_solicitud.yml,59,id,empresa_id|unidad_negocio_id|canal_id|solicitante_id|tipo_credito_id|tipo_emprendedor_id|origen_credito_id|calificacion_buro_id|calificacion_confianza_id|calificacion_final_id|notificacion_enviada_id|modelo_aprobador_id|almacen_origen_id|riesgo_id|contador_intentos|vendedor_usuario_id,candidate,101,31
cre_solicitud_bitacora,config/ingestion/credicresa_cre_solicitud_bitacora.yml,5,id,id|solicitud_id,candidate,12,2
cre_solicituddomicilio,config/ingestion/credicresa_cre_solicituddomicilio.yml,26,id,id|solicitud_id|provincia_id|canton_id|parroquia_id,candidate,51,15
cre_solicitudlaboral,config/ingestion/credicresa_cre_solicitudlaboral.yml,27,id,id|solicitud_id|provincia_id|canton_id|parroquia_id|actividad_laboral_id|actividad_economica_id|relacion_dependencia_id|profesion_id,candidate,54,16
cub_cobro_cuotas,config/ingestion/credicresa_cub_cobro_cuotas.yml,23,empresa,tipopago|estadopago|estado|tipocartera|clase|cid_asiento,candidate,38,10
lcr_cuentas,config/ingestion/credicresa_lcr_cuentas.yml,21,id,codigo_cliente|identificacion|tipo_identificacion|solicitante_id|solicitud_origen_id|segmento_id,candidate,42,12
lcr_graduacion,config/ingestion/credicresa_lcr_graduacion.yml,45,id,graduacion_id|codigo_empresa|codigo_cliente|segmento_anterior_id|segmento_nuevo_id|identificacion|tipo_cliente|relacion_dependencia_id|unidad_negocio_id|canal_id|grupo_id|riesgo_id|politica_id|lcr_id|bitacora_id|solicitante_id|cuenta_id,candidate,90,28
lcr_reserva_cuotas,config/ingestion/credicresa_lcr_reserva_cuotas.yml,13,id,cuenta_id|empresa_id|almacen_id|origen|pedido_id,candidate,24,6
sis_peticiones,config/ingestion/credicresa_sis_peticiones.yml,10,id,identificacion|status,candidate,28,6
ver_respuesta_proveedor,config/ingestion/credicresa_ver_respuesta_proveedor.yml,13,id,id|verificacion_id|solicitud_id|gestor_id,candidate,24,4
